item_a,item_b,category_a,category_b,category_pair,cross_category,co_occurrences,support_a,support_b,pair_support,lift,jaccard,chi_squared
pastry,napkins,bakery,household,bakery + household,True,26,0.0517275947336764,0.022121232373187194,0.0017376194613379669,1.5185289272972826,0.024096385542168672,4.964529871715928
sausage,curd,meat and seafood,dairy,dairy + meat and seafood,True,44,0.06034886052262247,0.03368308494285905,0.0029405867807257902,1.4466153386419167,0.032281731474688186,6.681602778608916
canned beer,white bread,beverages,bakery,bakery + beverages,True,23,0.04691572545612511,0.023992514870012697,0.0015371249081066632,1.3655730939853503,0.022157996146435453,2.4197855624887747
canned beer,brown bread,beverages,bakery,bakery + beverages,True,36,0.04691572545612511,0.03762614448974136,0.0024059346387756467,1.3629366489046775,0.02929210740439382,3.7932665457437342
beef,frozen vegetables,meat and seafood,produce,meat and seafood + produce,True,19,0.03395041101383412,0.028002405934638777,0.0012697988371315912,1.3356557608103283,0.02092511013215859,1.7068001011953664
frankfurter,margarine,other,other,other,False,24,0.037759807525228894,0.03221279155249616,0.001603956425850431,1.318664855138986,0.02346041055718475,1.984640166475816
frozen vegetables,cream cheese,produce,dairy,dairy + produce,True,13,0.028002405934638777,0.023658357281293858,0.0008688097306689834,1.311428879630004,0.017105263157894735,1.0130931356403114
beef,margarine,meat and seafood,other,meat and seafood + other,True,21,0.03395041101383412,0.03221279155249616,0.001403461872619127,1.2832971215734963,0.021671826625386994,1.4047437249020884
newspapers,beef,other,meat and seafood,meat and seafood + other,True,25,0.038895943326872955,0.03395041101383412,0.001670787943594199,1.2652373028113755,0.023474178403755867,1.4971571766807383
curd,dessert,dairy,dairy,dairy,False,15,0.03368308494285905,0.02359152576355009,0.0010024727661565194,1.2615506542560369,0.017814726840855107,0.8620789992910444
coffee,hamburger meat,beverages,meat and seafood,beverages + meat and seafood,True,13,0.03161130789280225,0.021853906302212123,0.0008688097306689834,1.2576307129326119,0.016518424396442185,0.7243226293885993
butter,margarine,dairy,other,dairy + other,True,21,0.03522020985096572,0.03221279155249616,0.001403461872619127,1.2370302424275825,0.02125506072874494,1.0215001244107398
frankfurter,coffee,other,beverages,beverages + other,True,22,0.037759807525228894,0.03161130789280225,0.0014702933903628951,1.231776085614324,0.02165354330708661,1.0296626458660447
sausage,frozen vegetables,meat and seafood,produce,meat and seafood + produce,True,31,0.06034886052262247,0.028002405934638777,0.0020717770500568067,1.2259664813919129,0.024012393493415954,1.4136415738077222
sausage,bottled beer,meat and seafood,beverages,beverages + meat and seafood,True,50,0.06034886052262247,0.04531176903027468,0.003341575887188398,1.2220000849348451,0.03265839320705421,2.247899216413571
curd,chicken,dairy,meat and seafood,dairy + meat and seafood,True,17,0.03368308494285905,0.027868742899151238,0.0011361358016440553,1.2103222184157438,0.018805309734513276,0.6614145345149257
brown bread,beef,bakery,meat and seafood,bakery + meat and seafood,True,23,0.03762614448974136,0.03395041101383412,0.0015371249081066632,1.2033013524286376,0.02194656488549619,0.8497491335196354
brown bread,pork,bakery,meat and seafood,bakery + meat and seafood,True,25,0.03762614448974136,0.037091492347791216,0.001670787943594199,1.1971740834973519,0.022872827081427266,0.8760996839070864
